COMPOUND	COMPOUND_NAME	SMILES
471467	ICX5600034	CC(C)C(CP(=O)(O)C(Cc1ccccc1)NC(=O)OCc2ccccc2)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)NC(C)C(=O)O
471476	ICX5600043	CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(C4)CC3C5)C(=O)N(CCc6ccc(Cl)cc6)CC(=O)O
471477	ICX5600044	CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(C4)CC3C5)C(=O)N6CC(CC6C(=O)O)Oc7ccc(Cl)cc7
471479	ICX5600046	CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(C4)CC3C5)C(=O)N6CC(CC6C(=O)O)Oc7ccc(F)cc7F
471480	ICX5600047	CC1(C)SSC(C)(C)C(NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C1NC(=O)C(N)Cc3ccc(O)cc3)C(=O)O
471481	ICX5600048	CC1(C)SSC(C)(C)C(NC(=O)C(Cc2ccc(F)cc2)NC(=O)CNC(=O)C1NC(=O)C(N)Cc3ccc(O)cc3)C(=O)O
471482	ICX5600049	CC1(C)SSCC(NC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)C1NC(=O)C(N)Cc3ccc(O)cc3)C(=O)O
602095	ICX5600055	Clc1ccc(OCc2c(C(=O)CN3CCC(CC3)N4CCCCC4)c5ccccc5n2CCCC6CCCNC6)cc1
707303	2'-DEOXYCOFORMYCIN	OCC1OC(CC1O)n2cnc3C(O)CN=CNc32
707304	MAGALDRATE	O.O[Mg]O.O[Al](O)O
707309	FK-224	CCCCCc1ccccc1CCC(=O)NC2C(C)OC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(NC(=O)C(Cc3ccccc3)NC(=O)C(CC(C)C)NC(=O)C(=Cc4ccc(O)cc4)N(C)C2=O)C(C)O
707315	99MTC-FURIFOSMIN	[Cl-].COCCCP(CCCOC)CCCOC.COCCCP(CCCOC)CCCOC.CC1(C)OC(C)(C)C2=C1O[Tc+]OC3=C(C=NCCN=C2)C(C)(C)OC3(C)C
707316	F-992	CCC1(C)NC(=O)C(Cc2cccs2)NC(=O)C(Cc3ccccc3)NC(=O)CCCSCC(NC(=O)C(CC(=O)N)NC1=O)C(=O)N4CC(O)CC4C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)N
602312	ENOXACIN	CCn1cc(C(=O)O)c(=O)c2cc(F)c(nc12)N3CCNCC3
602313	OFLOXACIN	CC1COc2c(N3CCN(C)CC3)c(F)cc4c(=O)c(cn1c24)C(=O)O
602315	CYCLOHEXIMIDE	CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2
602316	MEVASTATIN	CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12
602321	LEVAMISOLE	C1CN2CC(N=C2S1)c3ccccc3
602324	SULCONAZOLE	Clc1ccc(CSC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1
707649	CEFONICID	OC(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3CS(=O)(=O)O)c4ccccc4
707650	CEFOSELIS	CON=C(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)[O-])C[n+]3ccc(N)n3CCO)c4csc(N)n4
707651	CEFOTAXIME	CON=C(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)c3csc(N)n3
707477	5-HTQ IODIDE	[I-].C[N+](C)(C)CCc1c[nH]c2ccc(O)cc12
707478	5-METHOXY-N-CYCLOPROPANOYLTRYPTAMINE	COc1ccc2[nH]cc(CCNC(=O)C3CC3)c2c1
707479	2-(5-NITRO-1H-INDOL-3-YL)-ETHYLAMINE, (5-NITROTRYPTAMINE)	NCCc1c[nH]c2ccc(cc12)[N+](=O)[O-]
707480	5-[(DIMETHYLAMINO)METHYL]-3-(1-METHYL-1H-INDOL-3-YL)-1,2,4-OXADIAZOLE HYDROCHLOR	CN(C)Cc1nc(no1)c2cn(C)c3ccccc23
707481	DIBA	CCN(CC)CCCCN1c2ccccc2NC(=O)c3c(cccc13)C(=O)CN4CCCCC4
707482	5ALPHA-PREGNAN-3ALPHA-OL-20-ONE	CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
707483	NCS-382	OC1C(=CC(=O)O)CCCc2ccccc12
707484	6,7-DICHLORO-3-HYDROXY-2-QUINOXALINECARBOXYLIC ACID	OC(=O)c1nc2cc(Cl)c(Cl)cc2nc1O
707485	DNQX	[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-]
701045	CALCITONIN 8-32 (SALMON)	CC(C)CC(NC(=O)C(N)C(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)O)C(=O)NC(Cc2ccc(O)cc2)C(=O)N3CCCC3C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(C)O)C(=O)N4CCCC4C(=O)N
701046	(RS)-ALPHA-METHYL-3-CARBOXYMETHYLPHENYLGLYCINE	CC(N)(C(=O)O)c1cccc(CC(=O)O)c1
701055	TRICHLOROETHANE	CC(Cl)(Cl)Cl
701058	1,1-DICHLOROETHENE	ClC(=C)Cl
701071	CHLOROFORM	ClC(Cl)Cl
602161	COMBRETASTATIN ANALOG 2	Cc1cnc2[nH]c(cc(=O)c2c1)c3cccc4ccccc34
707419	2-IMINOPIPERIDINE HYDROCHLORIDE	N=C1CCCCN1
707420	2-IODO-N-BUTANOYL-5-METHOXYTRYPTAMINE	CCCC(=O)NCCc1c(I)[nH]c2ccc(OC)cc12
707421	2-IODOMELATONIN	COc1ccc2[nH]c(I)c(CCNC(=O)C)c2c1
707422	2-PHENYLMELATONIN	COc1ccc2[nH]c(c(CCNC(=O)C)c2c1)c3ccccc3
707423	2-[(4-PHENYLPIPERAZIN-1-YL)METHYL]-2,3-DIHYDROIMIDAZO[1,2-C]QUINAZOLIN-5(6H)-ONE	O=C1Nc2ccccc2C3=NC(CN4CCN(CC4)c5ccccc5)CN31
707424	M-6434	COc1ccc(Cl)cc1N=Nc2ncc[nH]2
707425	2-[1-(4-PIPERONYL)PIPERAZINYL]BENZOTHIAZOLE	C(N1CCN(CC1)c2nc3ccccc3s2)c4cccc5OCOc54
707426	LY 225910	CC(C)Oc1cccc(c1)n2c(CCc3c[nH]c4ccc(Br)cc34)nc5ccccc5c2=O
707427	2-[4-(2-METHYLETHYL)PHENYL]-3-[3-(N,N-DIMETHYLAMINO)PROPYL]-1,3-THIAZOLIDIN-4-ON	CC(C)c1ccc(cc1)C2SCC(=O)N2CCCN(C)C
707428	L-694,247	CS(=O)(=O)Nc1ccc(CC2=NOC(N2)c3ccc4[nH]cc(CCN)c4c3)cc1
700631	P-PHENYLENEDIAMINE	Nc1ccc(N)cc1
700634	PALMITOYLETHANOLAMIDE	CCCCCCCCCCCCCCCC(=O)NCCO
700644	PAROMOMYCIN	NCC1OC(OC2C(O)C(OC3C(O)C(N)CC(N)C3OC4OC(CO)C(O)C(O)C4N)OC2CO)C(N)C(O)C1O
700649	PD-140548	CC(Cc1c[nH]c2ccccc12)(NC(=O)OC3C4CC5CC(C4)CC3C5)C(=O)NC(CC(=O)O)Cc6ccccc6
700656	PENITREM A	CC(=C)C1OC2CCC3(C)C4(C)C(CCC3(O)C52OC5C1O)C6OC(C)(C)C7CC8C(=C)Cc9c(Cl)cc%10[nH]c4c6c%10c9C87O
700678	PHOSPHORIC ACID	OP(=O)(O)O
700682	PICESTANNOL	Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
700685	PIPECURONIUM BROMIDE	[Br-].[Br-].CC(=O)OC1C(CC2C3CCC4CC(OC(=O)C)C(CC4(C)C3CCC12C)N5CC[N+](C)(C)CC5)N6CC[N+](C)(C)CC6
602294	ALPHA-TOCOPHEROL	CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(OC(=O)C)c(C)c(C)c2O1
602257	TOBRAMYCIN	NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O
602264	TYRPHOSTIN A23	Oc1ccc(C=C(C#N)C#N)cc1O
602276	VITAMIN E	CC(C)CCCC(C)CCCC(C)CCCC1(C)CCc2c(C)c(O)c(C)c(C)c2O1
602334	R(-)-IBUPROFEN	CC(C)Cc1ccc(cc1)C(C)C(=O)O
602351	DIETHYLSTILBESTROL	CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2
602359	GEMFIBROZIL	Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
471465	ICX5600032	CC(=O)N1CCN(CC1)c2nc(COC3C(Cn4ccnc4)Sc5ccc(cc35)C(C)(C)C)ns2
471468	ICX5600035	CC(NC(=O)C(CC(=O)N(C)C)NC(=O)C(NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)C(F)(F)C(F)(F)F
471470	ICX5600037	CCCNC(=N)NCCCC(N)C(=O)O
471471	ICX5600038	NC(CCCNC(=N)NCC=C)C(=O)O
707380	(S)-MCPG	CC(N)(C(=O)O)c1ccc(cc1)C(=O)O
707381	N-BENZYLNALTRINDOLE	Oc1ccc2CC3N(CC4CC4)CCC5(C6Oc1c25)C3(O)Cc7c6n(Cc8ccccc8)c9ccccc79
707382	L-693,403 MALEATE	C(N1CCC2(CCc3ccccc32)CC1)c4ccccc4
707998	ICX5609037	COc1ccc(cc1)c2coc3cc(O)cc(O)c3c2=O
707384	CP 93129 HYDROCHLORIDE	O=c1ccc2[nH]cc(C3=CCNCC3)c2[nH]1
707385	1-(2-BENZO[B]THIENYL)-N-BUTYLCYCLOHEXANAMINE FUMARATE	CCCCNC1(CCCCC1)c2cc3ccccc3s2
707386	PK 11195	CCC(C)N(C)C(=O)c1cc2ccccc2c(n1)c3ccccc3Cl
707387	1-(3-CHLOROPHENYL)-4-HEXYLPIPERAZINE MALEATE	CCCCCCN1CCN(CC1)c2cccc(Cl)c2
707388	1-(3-CHLOROPHENYL)BIGUANIDE HYDROCHLORIDE	NC(=N)NC(=N)Nc1cccc(Cl)c1
707389	M-CPP	Clc1cccc(c1)N2CCNCC2
700237	GLYCEROL, IODINATED	CC(I)C1OCC(CO)O1
700255	HA 1004, DIHYDROCHLORIDE	NC(=N)NCCNS(=O)(=O)c1cccc2cnccc12
700264	HISTRELIN	CCNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc2cn(Cc3ccccc3)cn2)NC(=O)C(Cc4ccc(O)cc4)NC(=O)C(CO)NC(=O)C(Cc5c[nH]c6ccccc56)NC(=O)C(Cc7c[nH]cn7)NC(=O)C8NCCC8=O
700270	HYDRIODIC ACID	I
700276	HYDROXYLAMINE HYDROCHLORIDE	NO
700307	IRL-2500	CN(C(Cc1ccc(cc1)c2ccccc2)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)C(=O)c5cc(C)cc(C)c5
602320	CYCLOPHOSPHAMIDE	ClCCN(CCCl)P1(=O)NCCCO1
602323	AZATHIOPRINE	Cn1cnc([N+](=O)[O-])c1Sc2ncnc3[nH]cnc23
602326	PREDNISOLONE	CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
602329	SIMVASTATIN	CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12
602331	AURANOFIN	CCP(=[Au]SC1OC(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C1OC(=O)C)(CC)CC
602343	BECLOMETHASONE	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
170417	CAMPTOTHECIN	CCC1(O)C(=O)OCc2c1cc3-c4nc5ccccc5cc4Cn3c2=O
602350	DANAZOL	CC12CCC3C(CCC4=Cc5oncc5CC34C)C2CCC1(O)C#C
707317	LY-333328	CNC(CC(C)C)C(=O)NC1C(O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)C(OC6CC(C)(N)C(O)C(C)O6)C7NC(=O)C(NC(=O)C4NC(=O)C(CC(=O)N)NC1=O)c8ccc(O)c(c8)-c9c(O)cc(O)cc9C(NC7=O)C(=O)O)c3OC%10OC(CO)C(O)C(O)C%10OC%11CC(C)(NCc%12ccc(cc%12)c%13ccc(Cl)cc%13)C(O)C(C)O%11)c(Cl)c2
707318	SNC-80	CCN(CC)C(=O)c1ccc(cc1)C(N2CC(C)N(CC=C)CC2C)c3cccc(OC)c3
700033	PIMAGEDINE	NNC(=N)N
700036	[SAR1,ILE8]-ANGIOTENSIN II	CCC(C)C(NC(=O)C1CCCN1C(=O)C(Cc2c[nH]cn2)NC(=O)C(NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)CNC)C(C)C)C(C)CC)C(=O)O
700037	(P-AMINO-PHE6)-ANGIOTENSIN II	CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc2ccc(N)cc2)C(=O)N3CCCC3C(=O)NC(Cc4ccccc4)C(=O)O
700038	ANGIOTENSIN II HUMAN	CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc2cnc[nH]2)C(=O)N3CCCC3C(=O)NC(Cc4ccccc4)C(=O)O
700040	APAMIN	CC(C)CC1NC(=O)C(C)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(CCCCN)NC(=O)C3CSSCC(NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CSSCC(N)C(=O)NC(CC(=O)N)C(=O)N3)NC1=O)C(=O)NC(CCC(=O)N)C(=O)NC(CCC(=O)N)C(=O)NC(Cc4c[nH]cn4)C(=O)N)C(C)O
700043	ARGIOTOXIN 636 TETRAHYDROCHLORIDE	NC(CCCNC(=N)N)C(=O)NCCCNCCCNCCCCCNC(=O)C(CC(=O)N)NC(=O)Cc1ccc(O)c(O)c1
700044	ASCOMYCIN	CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(C)CC2OC)C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)C(O)CC1=O)C(=CC4CCC(O)C(C4)OC)C
602353	DIMETHYL SULFOXIDE	CS(=O)C
602354	ENALAPRIL	CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N2CCCC2C(=O)O
602355	BETA-ESTRADIOL	CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
602357	ESTRONE	CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O
602339	ETHINYLESTRADIOL	CC12CCC3C(CCc4cc(O)ccc34)C2CCC1(O)C#C
602358	FLUTAMIDE	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F
336264	KETOROLAC	OC(=O)C1CCc2cc(cn12)C(=O)c3ccccc3
602363	METOPROLOL	COCCc1ccc(OCC(O)CNC(C)C)cc1
129551	NOCODAZOLE	COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3
701118	AZAURIDINE	OCC1OC(C(O)C1O)n2ncc(=O)[nH]c2=O
701130	TOLAZOLINE	C(C1=NCCN1)c2ccccc2
707516	AJMALINE	CCC1C(O)N2C3CC45C(O)C3C1CC2C5N(C)c6ccccc64
707517	ALCLOMETASONE DIPROPIONATE	CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C
707518	AFLATOXIN B1	COc1cc2OC3OC=CC3c2c4oc(=O)c5C(=O)CCc5c14
707519	ALICONAZOLE	Clc1ccc(cc1)C(=Cc2ccc(Cl)cc2Cl)Cn3ccnc3
707520	ALLANTOIN	NC(=O)NC1NC(=O)NC1=O
707521	ALLOXAZINE	O=c1[nH]c(=O)c2nc3ccccc3nc2[nH]1
707524	ALPHA-METHYL-5-HYDROXYTRYPTAMINE	CC(N)Cc1c[nH]c2ccc(O)cc12
707525	ALPRAZOLAM	Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4-n12
